id,created_at,buyer,seller,trade_type,btc_amount,btc_traded,fee_btc,btc_amount_less_fee,btc_final,fiat_amount,fiat_fee,fiat_per_btc,currency,exchange_rate,transaction_released_at,online_provider,reference
0,2020-03-17 17:16:31+00:00,thesimpleman243,Frankmaione,ONLINE_SELL,0.01219332,0.01207259,0.00012073,0.01207259,0.01219332,100,0.99,8283.23,CAD,8283.23,2020-03-17 17:20:24+00:00,INTERAC,L6
1,2020-03-17 16:57:32+00:00,Frankmaione,cnjoku,ONLINE_BUY,0.6747611,0.6747611,0.00674761,0.66801349,0.66801349,5000,50,7484.88,CAD,7410.03,2020-03-17 17:39:50+00:00,INTERAC,L7
